id,crop,crop_year,season,state,area,production,annual_rainfall,fertilizer,pesticide,yield_value
78,Rapeseed &Mustard,1997,Rabi       ,Meghalaya,6914.0,4467.0,3818.2,658005.0,2143.34,0.608571
79,Rice,1997,Kharif     ,Meghalaya,105170.0,150101.0,3818.2,10009000.0,32602.7,1.37857
80,Sesamum,1997,Kharif     ,Meghalaya,1326.0,688.0,3818.2,126195.0,411.06,0.575714
81,Small millets,1997,Kharif     ,Meghalaya,2804.0,2237.0,3818.2,266857.0,869.24,0.861429
82,Soyabean,1997,Kharif     ,Meghalaya,898.0,814.0,3818.2,85462.7,278.38,0.921429
83,Sugarcane,1997,Whole Year ,Meghalaya,82.0,225.0,3818.2,7803.94,25.42,2.352
84,Sweet potato,1997,Whole Year ,Meghalaya,5212.0,16978.0,3818.2,496026.0,1615.72,3.22143
86,Tobacco,1997,Rabi       ,Meghalaya,742.0,505.0,3818.2,70616.1,230.02,0.618
88,Wheat,1997,Rabi       ,Meghalaya,4287.0,6894.0,3818.2,407994.0,1328.97,1.385
89,Arecanut,1997,Whole Year ,West Bengal,8058.0,12423.0,1852.9,766880.0,2497.98,1.69176
90,Arhar/Tur,1997,Whole Year ,West Bengal,3630.0,2181.0,1852.9,345467.0,1125.3,0.777692
91,Bajra,1997,Kharif     ,West Bengal,207.0,95.0,1852.9,19700.2,64.17,0.426667
92,Barley,1997,Whole Year ,West Bengal,6116.0,5034.0,1852.9,582060.0,1895.96,1.68
93,Cardamom,1997,Whole Year ,West Bengal,2674.0,7.0,1852.9,254485.0,828.94,0.0
94,Castor seed,1997,Whole Year ,West Bengal,660.0,46.0,1852.9,62812.2,204.6,0.07
96,Cotton(lint),1997,Kharif     ,West Bengal,26000.0,52000.0,1852.9,2474420.0,8060.0,2.0
97,Dry chillies,1997,Whole Year ,West Bengal,64034.0,55569.0,1852.9,6094120.0,19850.5,0.942778
98,Gram,1997,Rabi       ,West Bengal,25485.0,16994.0,1852.9,2425410.0,7900.35,0.5975
99,Groundnut,1997,Whole Year ,West Bengal,29615.0,38672.0,1852.9,2818460.0,9180.65,1.13
100,Horse-gram,1997,Kharif     ,West Bengal,5645.0,2556.0,1852.9,537235.0,1749.95,0.438889
101,Jowar,1997,Whole Year ,West Bengal,948.0,450.0,1852.9,90221.2,293.88,0.482
103,Khesari,1997,Rabi       ,West Bengal,25261.0,28460.0,1852.9,2404090.0,7830.91,1.09588
104,Linseed,1997,Whole Year ,West Bengal,16486.0,4210.0,1852.9,1568970.0,5110.66,0.251538
105,Maize,1997,Whole Year ,West Bengal,35469.0,130390.0,1852.9,3375580.0,10995.4,2.65846
106,Masoor,1997,Rabi       ,West Bengal,51202.0,35040.0,1852.9,4872890.0,15872.6,0.662353
108,Moong(Green Gram),1997,Kharif     ,West Bengal,1490.0,711.0,1852.9,141803.0,461.9,0.548889
109,Moong(Green Gram),1997,Rabi       ,West Bengal,3269.0,1710.0,1852.9,311111.0,1013.39,0.542857
110,Moong(Green Gram),1997,Summer     ,West Bengal,9959.0,303.0,1852.9,947798.0,3087.29,0.046
111,Niger seed,1997,Rabi       ,West Bengal,50808100.0,38657300.0,1852.9,4835410000.0,15750500.0,0.698889
112,Niger seed,1997,Whole Year ,West Bengal,6512.0,3522.0,1852.9,619747.0,2018.72,0.40375
113,Other Kharif pulses,1997,Kharif     ,West Bengal,1279.0,725.0,1852.9,121722.0,396.49,0.585
115,Ragi,1997,Autumn     ,West Bengal,12607.0,15330.0,1852.9,1199810.0,3908.17,0.986
116,Rapeseed &Mustard,1997,Whole Year ,West Bengal,327123.0,250950.0,1852.9,31132300.0,101408.0,0.718333
117,Rice,1997,Autumn     ,West Bengal,423121.0,751970.0,1852.9,40268400.0,131168.0,1.83722
118,Rice,1997,Summer     ,West Bengal,1206830.0,3569520.0,1852.9,114854000.0,374117.0,2.84389
119,Rice,1997,Winter     ,West Bengal,4270330.0,8915100.0,1852.9,406407000.0,1323800.0,1.98556
120,Safflower,1997,Whole Year ,West Bengal,10800.0,3000.0,1852.9,1027840.0,3348.0,0.2975
121,Sannhamp,1997,Whole Year ,West Bengal,2015.0,9073.0,1852.9,191768.0,624.65,4.59857
122,Sesamum,1997,Whole Year ,West Bengal,127913.0,88943.0,1852.9,12173500.0,39653.0,0.649444
123,Small millets,1997,Whole Year ,West Bengal,5046.0,3222.0,1852.9,480228.0,1564.26,0.626667
124,Soyabean,1997,Kharif     ,West Bengal,1555.0,1172.0,1852.9,147989.0,482.05,1.19667
126,Sunflower,1997,Whole Year ,West Bengal,278.0,1.0,1852.9,26457.3,86.18,0.0
127,Turmeric,1997,Whole Year ,West Bengal,12481.0,23556.0,1852.9,1187820.0,3869.11,1.66111
128,Urad,1997,Kharif     ,West Bengal,69271.0,44480.0,1852.9,6592520.0,21474.0,1.825
129,Urad,1997,Rabi       ,West Bengal,16694.0,10553.0,1852.9,1588770.0,5175.14,0.628333
130,Wheat,1997,Rabi       ,West Bengal,367374.0,810480.0,1852.9,34963000.0,113886.0,1.88667
131,Arecanut,1998,Kharif     ,Puducherry,66.0,23.0,1434.59,6520.8,19.14,0.35
132,Bajra,1998,Kharif     ,Puducherry,149.0,324.0,1434.59,14721.2,43.21,2.17
133,Black pepper,1998,Kharif     ,Puducherry,12.0,7.0,1434.59,1185.6,3.48,0.58
134,Coriander,1998,Kharif     ,Puducherry,2.0,1.0,1434.59,197.6,0.58,0.5
135,Cotton(lint),1998,Summer     ,Puducherry,453.0,372.0,1434.59,44756.4,131.37,0.84
136,Dry chillies,1998,Kharif     ,Puducherry,8.0,23.0,1434.59,790.4,2.32,2.75
137,Groundnut,1998,Rabi       ,Puducherry,1046.0,2062.0,1434.59,103345.0,303.34,1.54
139,Ragi,1998,Kharif     ,Puducherry,112.0,366.0,1434.59,11065.6,32.48,3.27
140,Rice,1998,Kharif     ,Puducherry,4945.0,11518.0,1434.59,488566.0,1434.05,2.46
141,Rice,1998,Rabi       ,Puducherry,13961.0,30220.0,1434.59,1379350.0,4048.69,2.555
142,Rice,1998,Summer     ,Puducherry,5716.0,14863.0,1434.59,564741.0,1657.64,2.55
143,Sesamum,1998,Kharif     ,Puducherry,147.0,120.0,1434.59,14523.6,42.63,0.806667
144,Small millets,1998,Kharif     ,Puducherry,4.0,3.0,1434.59,395.2,1.16,0.75
147,Arecanut,1998,Whole Year ,Assam,74457.0,55355.0,2354.4,7356350.0,21592.5,0.784348
148,Arhar/Tur,1998,Kharif     ,Assam,7657.0,5389.0,2354.4,756512.0,2220.53,0.70913
150,Castor seed,1998,Kharif     ,Assam,1728.0,708.0,2354.4,170726.0,501.12,0.411429
152,Cotton(lint),1998,Kharif     ,Assam,1652.0,751.0,2354.4,163218.0,479.08,0.39913
153,Dry chillies,1998,Whole Year ,Assam,14724.0,9690.0,2354.4,1454730.0,4269.96,0.636957
154,Gram,1998,Rabi       ,Assam,3002.0,1503.0,2354.4,296598.0,870.58,0.460455
156,Linseed,1998,Rabi       ,Assam,10222.0,5212.0,2354.4,1009930.0,2964.38,0.480909
157,Maize,1998,Kharif     ,Assam,19810.0,13965.0,2354.4,1957230.0,5744.9,0.608696
158,Mesta,1998,Kharif     ,Assam,5260.0,25623.0,2354.4,519688.0,1525.4,4.9105
159,Niger seed,1998,Kharif     ,Assam,8753.0,4478.0,2354.4,864796.0,2538.37,0.520556
160,Onion,1998,Whole Year ,Assam,8083.0,18341.0,2354.4,798600.0,2344.07,2.34043
161,Other  Rabi pulses,1998,Rabi       ,Assam,116141.0,62330.0,2354.4,11474700.0,33680.9,0.508261
163,Rapeseed &Mustard,1998,Rabi       ,Assam,288829.0,135631.0,2354.4,28536300.0,83760.4,0.473478
164,Rice,1998,Autumn     ,Assam,594979.0,520605.0,2354.4,58783900.0,172544.0,1.05565
165,Rice,1998,Summer     ,Assam,223913.0,446114.0,2354.4,22122600.0,64934.8,1.68522
166,Rice,1998,Winter     ,Assam,1635230.0,2288110.0,2354.4,161561000.0,474217.0,1.39565
167,Sesamum,1998,Kharif     ,Assam,15940.0,8210.0,2354.4,1574870.0,4622.6,0.485217
168,Small millets,1998,Kharif     ,Assam,10547.0,5450.0,2354.4,1042040.0,3058.63,0.521364
170,Sweet potato,1998,Whole Year ,Assam,9433.0,32437.0,2354.4,931980.0,2735.57,3.43565
171,Tapioca,1998,Whole Year ,Assam,2798.0,13261.0,2354.4,276442.0,811.42,4.44522
172,Tobacco,1998,Whole Year ,Assam,1465.0,732.0,2354.4,144742.0,424.85,0.569545
173,Turmeric,1998,Whole Year ,Assam,10729.0,7416.0,2354.4,1060030.0,3111.41,0.666957
174,Wheat,1998,Rabi       ,Assam,89591.0,90509.0,2354.4,8851590.0,25981.4,0.999545
175,Arecanut,1998,Whole Year ,Goa,1500.0,1820.0,2964.9,148200.0,435.0,1.21
177,Black pepper,1998,Whole Year ,Goa,250.0,70.0,2964.9,24700.0,72.5,0.28
178,Cashewnut,1998,Whole Year ,Goa,52875.0,15000.0,2964.9,5224050.0,15333.8,0.28
180,Groundnut,1998,Kharif     ,Goa,350.0,412.0,2964.9,34580.0,101.5,1.18
181,Groundnut,1998,Rabi       ,Goa,1048.0,2124.0,2964.9,103542.0,303.92,2.03
182,Other  Rabi pulses,1998,Rabi       ,Goa,8671.0,9220.0,2964.9,856695.0,2514.59,1.06
183,Other Kharif pulses,1998,Kharif     ,Goa,1200.0,324.0,2964.9,118560.0,348.0,0.27
184,Ragi,1998,Kharif     ,Goa,2500.0,2476.0,2964.9,247000.0,725.0,0.99
185,Rice,1998,Kharif     ,Goa,41000.0,104249.0,2964.9,4050800.0,11890.0,2.54
186,Rice,1998,Rabi       ,Goa,15439.0,46925.0,2964.9,1525370.0,4477.31,3.04
189,Arhar/Tur,1998,Kharif     ,Karnataka,475396.0,221453.0,1260.8,46969100.0,137865.0,0.400833
190,Bajra,1998,Kharif     ,Karnataka,415816.0,282231.0,1260.8,41082600.0,120587.0,0.601765
191,Bajra,1998,Rabi       ,Karnataka,451.0,536.0,1260.8,44558.8,130.79,1.19
192,Bajra,1998,Summer     ,Karnataka,846.0,498.0,1260.8,83584.8,245.34,0.59
193,Black pepper,1998,Whole Year ,Karnataka,4387.0,10342.0,1260.8,433436.0,1272.23,2.238
194,Cardamom,1998,Whole Year ,Karnataka,20218.0,1153.0,1260.8,1997540.0,5863.22,0.06
195,Castor seed,1998,Kharif     ,Karnataka,27246.0,23245.0,1260.8,2691900.0,7901.34,0.831818
197,Coriander,1998,Whole Year ,Karnataka,17935.0,2982.0,1260.8,1771980.0,5201.15,0.118
198,Cotton(lint),1998,Kharif     ,Karnataka,636495.0,976876.0,1260.8,62885700.0,184584.0,1.55652
199,Dry chillies,1998,Whole Year ,Karnataka,170319.0,146498.0,1260.8,16827500.0,49392.5,1.1237
200,Garlic,1998,Whole Year ,Karnataka,3574.0,3034.0,1260.8,353111.0,1036.46,1.45941
202,Gram,1998,Rabi       ,Karnataka,355326.0,202508.0,1260.8,35106200.0,103045.0,0.573478
203,Groundnut,1998,Kharif     ,Karnataka,1012580.0,929016.0,1260.8,100043000.0,293647.0,0.8568
204,Groundnut,1998,Rabi       ,Karnataka,217445.0,263118.0,1260.8,21483600.0,63059.1,1.3052
205,Horse-gram,1998,Kharif     ,Karnataka,189486.0,90718.0,1260.8,18721200.0,54950.9,0.504615
206,Horse-gram,1998,Rabi       ,Karnataka,134779.0,62084.0,1260.8,13316200.0,39085.9,0.4492
207,Jowar,1998,Kharif     ,Karnataka,420808.0,616645.0,1260.8,41575800.0,122034.0,1.30571
208,Jowar,1998,Rabi       ,Karnataka,1420160.0,1003450.0,1260.8,140312000.0,411847.0,0.7235
209,Jowar,1998,Summer     ,Karnataka,8897.0,23144.0,1260.8,879024.0,2580.13,2.46133
210,Linseed,1998,Rabi       ,Karnataka,19806.0,6441.0,1260.8,1956830.0,5743.74,0.315
211,Maize,1998,Kharif     ,Karnataka,450472.0,1542610.0,1260.8,44506600.0,130637.0,3.366
212,Maize,1998,Rabi       ,Karnataka,49922.0,101605.0,1260.8,4932290.0,14477.4,1.97952
213,Maize,1998,Summer     ,Karnataka,11974.0,27080.0,1260.8,1183030.0,3472.46,2.2419
214,Moong(Green Gram),1998,Kharif     ,Karnataka,311720.0,61227.0,1260.8,30797900.0,90398.8,0.180769
215,Moong(Green Gram),1998,Rabi       ,Karnataka,15627.0,7005.0,1260.8,1543950.0,4531.83,0.438824
216,Niger seed,1998,Kharif     ,Karnataka,41853.0,8104.0,1260.8,4135080.0,12137.4,0.214783
227,Ragi,1998,Kharif     ,Karnataka,986173.0,1664770.0,1260.8,97433900.0,285990.0,1.418
228,Ragi,1998,Rabi       ,Karnataka,33833.0,45301.0,1260.8,3342700.0,9811.57,1.361
229,Ragi,1998,Summer     ,Karnataka,10673.0,24008.0,1260.8,1054490.0,3095.17,2.23923
230,Rapeseed &Mustard,1998,Kharif     ,Karnataka,6673.0,1790.0,1260.8,659292.0,1935.17,0.210625
231,Rice,1998,Kharif     ,Karnataka,1079190.0,2599170.0,1260.8,106624000.0,312966.0,2.31074
232,Rice,1998,Rabi       ,Karnataka,51782.0,106072.0,1260.8,5116060.0,15016.8,2.05429
233,Rice,1998,Summer     ,Karnataka,295830.0,951569.0,1260.8,29228000.0,85790.7,2.99375
234,Safflower,1998,Rabi       ,Karnataka,97487.0,58727.0,1260.8,9631720.0,28271.2,0.616429
235,Sesamum,1998,Kharif     ,Karnataka,115250.0,46673.0,1260.8,11386700.0,33422.5,0.417308
236,Soyabean,1998,Kharif     ,Karnataka,65309.0,70294.0,1260.8,6452530.0,18939.6,1.06059
237,Sunflower,1998,Kharif     ,Karnataka,430676.0,127090.0,1260.8,42550800.0,124896.0,0.382609
238,Sunflower,1998,Rabi       ,Karnataka,359514.0,112736.0,1260.8,35520000.0,104259.0,0.390417
239,Sunflower,1998,Summer     ,Karnataka,43156.0,24211.0,1260.8,4263810.0,12515.2,0.595217
240,Turmeric,1998,Whole Year ,Karnataka,5007.0,25386.0,1260.8,494692.0,1452.03,4.68238
241,Wheat,1998,Rabi       ,Karnataka,268981.0,219433.0,1260.8,26575300.0,78004.5,0.848824
242,Arecanut,1998,Whole Year ,Kerala,73639.0,68479.0,3151.5,7275530.0,21355.3,0.797857
244,Black pepper,1998,Whole Year ,Kerala,182384.0,68510.0,3151.5,18019500.0,52891.4,0.261429
245,Cardamom,1998,Whole Year ,Kerala,41449.0,4990.0,3151.5,4095160.0,12020.2,0.0455556
246,Cashewnut,1998,Whole Year ,Kerala,91268.0,51336.0,3151.5,9017280.0,26467.7,0.484286
248,Cotton(lint),1998,Kharif     ,Kerala,10999.0,17752.0,3151.5,1086700.0,3189.71,1.61
249,Dry chillies,1998,Whole Year ,Kerala,297.0,288.0,3151.5,29343.6,86.13,0.937778
251,Ginger,1998,Whole Year ,Kerala,11107.0,39362.0,3151.5,1097370.0,3221.03,2.93
252,Groundnut,1998,Kharif     ,Kerala,7021.0,5219.0,3151.5,693675.0,2036.09,0.62
253,Jowar,1998,Kharif     ,Kerala,2177.0,1108.0,3151.5,215088.0,631.33,0.505
254,Ragi,1998,Kharif     ,Kerala,1157.0,936.0,3151.5,114312.0,335.53,0.81
255,Rice,1998,Autumn     ,Kerala,120217.0,235849.0,3151.5,11877400.0,34862.9,1.85692
256,Rice,1998,Summer     ,Kerala,57700.0,144872.0,3151.5,5700760.0,16733.0,2.11615
257,Rice,1998,Winter     ,Kerala,174714.0,346022.0,3151.5,17261700.0,50667.1,1.93714
258,Sesamum,1998,Kharif     ,Kerala,3303.0,1057.0,3151.5,326336.0,957.87,0.467273
263,Turmeric,1998,Whole Year ,Kerala,3706.0,8034.0,3151.5,366153.0,1074.74,1.99786
264,Arecanut,1998,Whole Year ,Meghalaya,9585.0,11567.0,6552.7,946998.0,2779.65,1.15167
265,Arhar/Tur,1998,Kharif     ,Meghalaya,861.0,678.0,6552.7,85066.8,249.69,0.803333
267,Cotton(lint),1998,Kharif     ,Meghalaya,7549.0,5599.0,6552.7,745841.0,2189.21,0.796667
268,Dry chillies,1998,Whole Year ,Meghalaya,1764.0,1051.0,6552.7,174283.0,511.56,0.598571
270,Gram,1998,Rabi       ,Meghalaya,463.0,283.0,6552.7,45744.4,134.27,0.61
272,Linseed,1998,Kharif     ,Meghalaya,51.0,23.0,6552.7,5038.8,14.79,0.45
273,Maize,1998,Kharif     ,Meghalaya,17219.0,25272.0,6552.7,1701240.0,4993.51,1.45714
274,Mesta,1998,Kharif     ,Meghalaya,4681.0,21362.0,6552.7,462483.0,1357.49,4.58
275,Mesta,1998,Whole Year ,Meghalaya,871.0,631.0,6552.7,86054.8,252.59,0.68
276,Other  Rabi pulses,1998,Rabi       ,Meghalaya,1938.0,1527.0,6552.7,191474.0,562.02,0.755714
278,Rapeseed &Mustard,1998,Rabi       ,Meghalaya,6916.0,4576.0,6552.7,683301.0,2005.64,0.635714
279,Rice,1998,Kharif     ,Meghalaya,105402.0,149742.0,6552.7,10413700.0,30566.6,1.51
280,Sesamum,1998,Kharif     ,Meghalaya,1322.0,694.0,6552.7,130614.0,383.38,0.575714
281,Small millets,1998,Kharif     ,Meghalaya,2823.0,2282.0,6552.7,278912.0,818.67,0.871429
282,Soyabean,1998,Kharif     ,Meghalaya,899.0,812.0,6552.7,88821.2,260.71,0.881429
283,Sugarcane,1998,Whole Year ,Meghalaya,83.0,225.0,6552.7,8200.4,24.07,2.328
284,Sweet potato,1998,Whole Year ,Meghalaya,5181.0,17291.0,6552.7,511883.0,1502.49,3.30286
286,Tobacco,1998,Whole Year ,Meghalaya,742.0,507.0,6552.7,73309.6,215.18,0.61
288,Wheat,1998,Rabi       ,Meghalaya,4287.0,6998.0,6552.7,423556.0,1243.23,1.605
289,Arecanut,1998,Whole Year ,West Bengal,8239.0,13665.0,2152.5,814013.0,2389.31,1.59529
290,Arhar/Tur,1998,Kharif     ,West Bengal,2606.0,1672.0,2152.5,257473.0,755.74,0.756923
291,Bajra,1998,Kharif     ,West Bengal,175.0,84.0,2152.5,17290.0,50.75,0.436667
292,Barley,1998,Rabi       ,West Bengal,5938.0,5910.0,2152.5,586674.0,1722.02,1.10375
293,Cardamom,1998,Whole Year ,West Bengal,2875.0,690.0,2152.5,284050.0,833.75,0.24
294,Castor seed,1998,Rabi       ,West Bengal,54.0,38.0,2152.5,5335.2,15.66,0.7
296,Cotton(lint),1998,Kharif     ,West Bengal,200.0,73.0,2152.5,19760.0,58.0,0.37
297,Dry chillies,1998,Whole Year ,West Bengal,64354.0,51303.0,2152.5,6358180.0,18662.7,0.890556
298,Ginger,1998,Kharif     ,West Bengal,9398.0,18839.0,2152.5,928522.0,2725.42,1.44944
299,Gram,1998,Rabi       ,West Bengal,23286.0,18971.0,2152.5,2300660.0,6752.94,0.875
300,Groundnut,1998,Whole Year ,West Bengal,30157.0,34994.0,2152.5,2979510.0,8745.53,1.12857
301,Horse-gram,1998,Rabi       ,West Bengal,4958.0,2043.0,2152.5,489850.0,1437.82,0.422
302,Jowar,1998,Kharif     ,West Bengal,886.0,414.0,2152.5,87536.8,256.94,0.465
304,Khesari,1998,Rabi       ,West Bengal,23300.0,20850.0,2152.5,2302040.0,6757.0,0.774667
305,Linseed,1998,Rabi       ,West Bengal,10323.0,2691.0,2152.5,1019910.0,2993.67,0.24
306,Maize,1998,Kharif     ,West Bengal,38519.0,121161.0,2152.5,3805680.0,11170.5,2.634
307,Masoor,1998,Rabi       ,West Bengal,51919.0,35600.0,2152.5,5129600.0,15056.5,0.600588
309,Moong(Green Gram),1998,Kharif     ,West Bengal,822.0,429.0,2152.5,81213.6,238.38,0.5075
310,Moong(Green Gram),1998,Rabi       ,West Bengal,2729.0,1598.0,2152.5,269625.0,791.41,0.61
311,Moong(Green Gram),1998,Summer     ,West Bengal,9320.0,2980.0,2152.5,920816.0,2702.8,0.312857
312,Niger seed,1998,Kharif     ,West Bengal,7587.0,4100.0,2152.5,749596.0,2200.23,0.4075
313,Other Kharif pulses,1998,Kharif     ,West Bengal,768.0,318.0,2152.5,75878.4,222.72,0.516
314,Peas & beans (Pulses),1998,Rabi       ,West Bengal,9230.0,6776.0,2152.5,911924.0,2676.7,0.70625
316,Ragi,1998,Kharif     ,West Bengal,12895.0,15648.0,2152.5,1274030.0,3739.55,0.91
317,Rapeseed &Mustard,1998,Rabi       ,West Bengal,344358.0,251740.0,2152.5,34022600.0,99863.8,0.667222
318,Rice,1998,Autumn     ,West Bengal,425002.0,740688.0,2152.5,41990200.0,123251.0,1.75111
319,Rice,1998,Summer     ,West Bengal,1450470.0,4921980.0,2152.5,143307000.0,420637.0,3.22
320,Rice,1998,Winter     ,West Bengal,4028620.0,7653780.0,2152.5,398028000.0,1168300.0,1.78167
